TenPct_AGhipX	TenPct_AGhipY	TenPct_AGhipZ	TwentyFivePct_AGhipX	TwentyFivePct_AGhipY	TwentyFivePct_AGhipZ	FiftyPct_AGhipX	FiftyPct_AGhipY	FiftyPct_AGhipZ	SeventyFivePct_AGhipX	SeventyFivePct_AGhipY	SeventyFivePct_AGhipZ	NinetyPct_AGhipX	NinetyPct_AGhipY	NinetyPct_AGhipZ
0.324	0.93	-0.078	0.328	0.934	-0.07400000000000001	0.332	0.934	-0.063	0.336	0.938	-0.047	0.344	0.941	-0.043
0.313	0.93	-0.13699999999999998	0.32	0.93	-0.063	0.32	0.938	-0.047	0.328	0.941	-0.047	0.328	0.945	-0.043
0.301	0.93	-0.184	0.309	0.934	-0.152	0.32	0.938	-0.066	0.32	0.938	-0.047	0.32	0.949	-0.047
0.305	0.93	-0.17600000000000002	0.313	0.934	-0.145	0.32	0.938	-0.055	0.328	0.941	-0.043	0.332	0.949	-0.027000000000000003
0.305	0.934	-0.117	0.313	0.938	-0.08199999999999999	0.316	0.941	-0.051	0.32	0.945	-0.043	0.328	0.949	-0.039
0.316	0.938	-0.043	0.32	0.941	-0.043	0.32	0.945	-0.043	0.32	0.945	-0.031	0.32	0.945	-0.027000000000000003
0.305	0.938	-0.055399999999999984	0.309	0.941	-0.043	0.316	0.941	-0.027000000000000003	0.316	0.945	-0.027000000000000003	0.32	0.953	-0.012
0.051	0.941	-0.324	0.066	0.957	-0.316	0.09	0.961	-0.301	0.109	0.965	-0.285	0.313	0.969	-0.05059999999999945
-0.281	0.941	-0.313	-0.05775	0.961	-0.313	0.098	0.961	-0.313	0.098	0.969	-0.188	0.113	0.996	-0.113
-0.246	0.785	-0.395	-0.199	0.898	-0.34	-0.152	0.977	-0.262	-0.102	1.035	-0.18	-0.055	1.102	-0.125
-0.25	0.7659999999999999	-0.43	-0.195	0.887	-0.371	-0.152	0.973	-0.289	-0.102	1.035	-0.188	-0.059	1.117	-0.125
-0.2504	0.773	-0.438	-0.195	0.8859999999999999	-0.379	-0.145	0.965	-0.313	-0.109	1.031	-0.207	-0.066	1.109	-0.13699999999999998
-0.2544	0.789	-0.438	-0.195	0.902	-0.371	-0.145	0.977	-0.254	-0.086	1.027	-0.14800000000000002	-0.035	1.094	-0.066
0.02	0.945	-0.35200000000000004	0.039	0.953	-0.336	0.07	0.961	-0.309	0.094	0.969	-0.289	0.133	0.977	-0.273
0.039	0.93	-0.371	0.063	0.941	-0.363	0.08199999999999999	0.945	-0.363	0.08199999999999999	0.949	-0.35200000000000004	0.094	0.961	-0.277
0.08199999999999999	0.816	-0.363	0.08199999999999999	0.84	-0.363	0.328	0.93	-0.238	0.504	0.945	-0.113	0.5429999999999999	0.945	0.043
0.547	0.785	0.117	0.555	0.789	0.129	0.5660000000000001	0.789	0.133	0.57	0.797	0.13699999999999998	0.57	0.8009999999999999	0.16
0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133
0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.789	0.133
0.5660000000000001	0.785	0.129	0.57	0.785	0.133	0.57	0.789	0.133	0.57	0.789	0.133	0.57	0.7929999999999999	0.133
0.563	0.785	0.117	0.57	0.785	0.129	0.57	0.785	0.133	0.57	0.789	0.133	0.57	0.7929999999999999	0.133
0.57	0.7929999999999999	0.129	0.57	0.7929999999999999	0.129	0.57	0.7929999999999999	0.129	0.57	0.7929999999999999	0.129	0.57	0.7929999999999999	0.129
0.508	0.813	-0.121	0.52	0.82	-0.047	0.531	0.828	0.008	0.539	0.836	0.063	0.5429999999999999	0.848	0.07400000000000001
0.539	0.82	0.07	0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07	0.5429999999999999	0.8240000000000001	0.07
0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07	0.539	0.8240000000000001	0.07
0.523	0.8240000000000001	0.08199999999999999	0.527	0.8240000000000001	0.086	0.527	0.8240000000000001	0.09	0.527	0.8240000000000001	0.09	0.527	0.8320000000000001	0.09
0.055	0.8240000000000001	-0.32	0.063	0.8240000000000001	-0.313	0.07	0.961	-0.2715	0.527	0.965	0.09	0.527	0.973	0.09
0.078	0.8320000000000001	-0.316	0.16	0.836	-0.316	0.508	0.84	0.055	0.512	0.949	0.059	0.512	0.965	0.098
0.195	0.848	-0.246	0.215	0.949	-0.227	0.227	0.953	-0.219	0.238	0.957	-0.211	0.508	0.965	0.024600000000002186
0.117	0.918	-0.359	0.145	0.93	-0.35200000000000004	0.211	0.938	-0.32	0.234	0.949	-0.281	0.254	0.957	-0.234
0.086	0.934	-0.375	0.09	0.938	-0.3670000000000001	0.09	0.938	-0.363	0.09	0.938	-0.363	0.09	0.941	-0.363
0.09	0.938	-0.363	0.09	0.938	-0.363	0.113	0.945	-0.348	0.121	0.945	-0.344	0.121	0.949	-0.344
0.121	0.945	-0.344	0.121	0.945	-0.344	0.121	0.945	-0.344	0.121	0.945	-0.344	0.121	0.945	-0.344
0.086	0.934	-0.371	0.09	0.934	-0.3670000000000001	0.09	0.938	-0.3670000000000001	0.121	0.945	-0.344	0.16399999999999998	0.945	-0.324
0.105	0.945	-0.35200000000000004	0.113	0.945	-0.35200000000000004	0.113	0.949	-0.34	0.14800000000000002	0.953	-0.32	0.16399999999999998	0.953	-0.32
0.113	0.934	-0.3670000000000001	0.113	0.934	-0.3670000000000001	0.125	0.934	-0.363	0.133	0.945	-0.35200000000000004	0.14140000000000053	0.945	-0.35200000000000004
0.08560000000000001	0.9056	-0.4382999999999999	0.125	0.922	-0.395	0.125	0.926	-0.395	0.125	0.934	-0.3670000000000001	0.129	0.934	-0.3670000000000001
0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395
0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395
0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395	0.125	0.922	-0.395
0.125	0.8240000000000001	-0.395	0.16399999999999998	0.836	-0.35200000000000004	0.496	0.848	-0.152	0.512	0.922	-0.113	0.527	0.934	-0.08199999999999999
0.414	0.84	-0.285	0.469	0.84	-0.17600000000000002	0.4920000000000001	0.848	-0.11900000000000001	0.504	0.855	-0.098	0.508	0.867	-0.078
0.156	0.809	-0.332	0.23	0.813	-0.293	0.477	0.855	-0.098	0.551	0.91	-0.012	0.5589999999999999	0.945	-0.004
0.551	0.805	-0.008	0.555	0.805	-0.008	0.555	0.809	-0.004	0.5589999999999999	0.813	0.004	0.5589999999999999	0.816	0.023
0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0
0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0
0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0
0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0
0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0	0.5589999999999999	0.813	0.0
0.5589999999999999	0.8009999999999999	0.0	0.5589999999999999	0.8009999999999999	0.0	0.5589999999999999	0.805	0.027000000000000003	0.563	0.813	0.039	0.563	0.813	0.051
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039	0.563	0.8009999999999999	0.039
0.547	0.813	-0.004	0.551	0.813	0.004	0.555	0.813	0.004	0.555	0.816	0.004	0.555	0.82	0.008
0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004
0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004
0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004	0.555	0.813	0.004
0.5429999999999999	0.813	0.004	0.5429999999999999	0.813	0.004	0.5429999999999999	0.816	0.055	0.555	0.82	0.059	0.555	0.82	0.059
0.527	0.82	0.08199999999999999	0.527	0.82	0.09	0.527	0.82	0.098	0.531	0.8240000000000001	0.098	0.535	0.828	0.098
0.047	0.82	-0.18	0.08199999999999999	0.82	-0.16	0.527	0.82	0.098	0.527	0.988	0.098	0.527	0.9964000000000004	0.125
0.102	0.82	-0.16399999999999998	0.52	0.8240000000000001	0.09	0.523	0.8240000000000001	0.105	0.527	0.828	0.105	0.531	0.988	0.113
0.523	0.8240000000000001	0.105	0.523	0.8240000000000001	0.105	0.523	0.8240000000000001	0.105	0.523	0.8240000000000001	0.105	0.523	0.8240000000000001	0.105
0.52	0.816	0.105	0.523	0.82	0.125	0.523	0.82	0.129	0.523	0.8240000000000001	0.129	0.527	0.8240000000000001	0.145
0.523	0.82	0.129	0.523	0.82	0.129	0.523	0.82	0.129	0.523	0.82	0.129	0.523	0.82	0.129
0.52	0.813	0.121	0.523	0.813	0.129	0.523	0.82	0.141	0.527	0.82	0.152	0.531	0.828	0.156
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16	0.527	0.813	0.16
0.52	0.813	0.133	0.527	0.813	0.141	0.527	0.813	0.16	0.527	0.816	0.16	0.527	0.8240000000000001	0.16
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998	0.523	0.816	0.13699999999999998
0.051	0.816	-0.113	0.055	0.816	-0.109	0.063	1.0	-0.102	0.523	1.0	0.13699999999999998	0.523	1.004	0.13699999999999998
0.063	0.8240000000000001	-0.113	0.063	0.828	-0.113	0.129	0.992	-0.113	0.531	1.0	0.051	0.535	1.0	0.055
0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055
0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055
0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055
0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055
0.531	0.828	0.031	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055	0.531	0.8320000000000001	0.055
0.52	0.828	0.035	0.527	0.8320000000000001	0.039	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.836	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043	0.531	0.8320000000000001	0.043
0.52	0.82	0.043	0.527	0.82	0.055	0.535	0.8240000000000001	0.059	0.539	0.8320000000000001	0.063	0.539	0.836	0.08199999999999999
0.535	0.8240000000000001	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.539	0.828	0.055
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051	0.535	0.828	0.051
0.516	0.828	0.051	0.52	0.828	0.051	0.523	0.828	0.07	0.535	0.8320000000000001	0.08199999999999999	0.535	0.836	0.094
0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001
0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001
0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001
0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001	0.52	0.8320000000000001	0.07400000000000001
0.5	0.8240000000000001	0.078	0.504	0.8320000000000001	0.094	0.508	0.836	0.094	0.508	0.84	0.102	0.52	0.84	0.109
0.4920000000000001	0.828	0.094	0.496	0.836	0.094	0.508	0.84	0.094	0.508	0.84	0.14800000000000002	0.508	0.84	0.18
0.008	0.91	-0.438	0.012	0.918	-0.426	0.023	0.93	-0.41	0.078	0.934	-0.402	0.08640000000000055	0.941	-0.391
0.086	0.8320000000000001	-0.43	0.109	0.84	-0.387	0.121	0.918	-0.359	0.508	0.934	-0.152	0.512	0.938	-0.121
0.516	0.816	-0.109	0.527	0.8240000000000001	-0.105	0.535	0.828	-0.094	0.535	0.8320000000000001	-0.086	0.535	0.836	-0.051
0.535	0.828	-0.086	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999
0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999	0.535	0.828	-0.08199999999999999
0.516	0.8240000000000001	-0.145	0.523	0.828	-0.121	0.527	0.828	-0.117	0.535	0.828	-0.08199999999999999	0.535	0.8320000000000001	-0.08199999999999999
0.52	0.828	-0.117	0.52	0.828	-0.117	0.52	0.828	-0.117	0.52	0.828	-0.117	0.52	0.828	-0.117
