TenPct_AGthighX	TenPct_AGthighY	TenPct_AGthighZ	TwentyFivePct_AGthighX	TwentyFivePct_AGthighY	TwentyFivePct_AGthighZ	FiftyPct_AGthighX	FiftyPct_AGthighY	FiftyPct_AGthighZ	SeventyFivePct_AGthighX	SeventyFivePct_AGthighY	SeventyFivePct_AGthighZ	NinetyPct_AGthighX	NinetyPct_AGthighY	NinetyPct_AGthighZ
0.25	0.855	0.086	0.309	0.887	0.121	0.348	0.914	0.145	0.371	0.945	0.17600000000000002	0.398	0.984	0.199
0.289	0.77	-0.051	0.344	0.813	0.008	0.445	0.863	0.086	0.523	0.918	0.172	0.578	0.969	0.246
0.066	0.887	-0.016	0.129	0.895	0.031	0.398	0.902	0.098	0.402	0.977	0.117	0.41	0.992	0.195
0.344	0.875	0.022700000000000012	0.398	0.883	0.098	0.402	0.895	0.109	0.406	0.902	0.117	0.43	0.93	0.145
0.336	0.805	0.16	0.391	0.8310000000000001	0.191	0.434	0.855	0.219	0.465	0.883	0.258	0.4920000000000001	0.906	0.3324000000000006
0.266	0.828	0.105	0.328	0.8590000000000001	0.141	0.375	0.8909999999999999	0.199	0.418	0.93	0.242	0.457	0.988	0.289
0.281	0.813	0.152	0.34	0.84	0.184	0.398	0.873	0.211	0.453	0.91	0.238	0.484	0.957	0.266
0.363	0.7929999999999999	0.156	0.395	0.8240000000000001	0.184	0.43	0.8590000000000001	0.211	0.461	0.8919999999999999	0.242	0.488	0.934	0.281
0.234	0.82	0.063	0.266	0.871	0.102	0.359	0.926	0.141	0.441	0.965	0.172	0.4920000000000001	0.996	0.199
0.277	0.7929999999999999	0.15960000000000002	0.371	0.82	0.184	0.395	0.875	0.211	0.48	0.8909999999999999	0.238	0.52	0.945	0.273
0.3436	0.789	0.16399999999999998	0.375	0.82	0.203	0.41	0.848	0.242	0.453	0.887	0.305	0.488	0.93	0.344
0.29660000000000003	0.8240000000000001	0.078	0.335	0.8590000000000001	0.129	0.379	0.895	0.18	0.422	0.93	0.219	0.461	0.961	0.254
0.227	0.8440000000000001	0.1446	0.301	0.871	0.172	0.383	0.8809999999999999	0.207	0.398	0.93	0.227	0.441	0.973	0.234
0.34	0.8440000000000001	0.16	0.363	0.867	0.184	0.383	0.883	0.203	0.402	0.898	0.219	0.445	0.918	0.2344000000000005
0.375	0.8009999999999999	0.152	0.402	0.8240000000000001	0.17600000000000002	0.426	0.855	0.219	0.465	0.875	0.27	0.4920000000000001	0.895	0.305
0.3670000000000001	0.785	0.16	0.401	0.82	0.191	0.43	0.852	0.227	0.461	0.887	0.262	0.4920000000000001	0.922	0.293
0.262	0.805	0.125	0.34	0.8440000000000001	0.16	0.379	0.887	0.199	0.418	0.938	0.242	0.457	0.984	0.297
0.395	0.8009999999999999	0.17600000000000002	0.434	0.82	0.215	0.453	0.836	0.234	0.473	0.8590000000000001	0.258	0.488	0.895	0.277
0.34	0.789	0.13699999999999998	0.375	0.82	0.17600000000000002	0.422	0.8590000000000001	0.211	0.469	0.898	0.246	0.504	0.938	0.281
0.262	0.867	0.129	0.297	0.879	0.14800000000000002	0.332	0.914	0.172	0.395	0.945	0.199	0.406	0.965	0.211
0.387	0.746	0.184	0.422	0.7929999999999999	0.215	0.465	0.828	0.238	0.504	0.863	0.27	0.563	0.902	0.297
