Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA55,0.27766889385460836,0.3487141454641553,"[0.44879, 0.91869, 0.0]","[(0.44613, 0.45144), (0.91633, 0.92105), (0.0, 0.0)]","[0.91847, 0.44105, 1.0]","[(0.91617, 0.92077), (0.43843, 0.44367), (1.0, 1.0)]",60640,74480,0,4181,47239,0,251,2689,0
OA31,0.35306976988921,0.4458025235759746,"[0.6174, 0.88534, 0.0]","[(0.61562, 0.61919), (0.88319, 0.88749), (0.0, 0.0)]","[0.89563, 0.59572, 1.0]","[(0.8937, 0.89757), (0.59395, 0.59749), (1.0, 1.0)]",175960,109040,0,9714,75006,0,255,10545,0
KOA60,0.25354600775270536,0.2377713249086896,"[0.46006, 0.91237, 0.0]","[(0.45837, 0.46175), (0.90963, 0.91511), (0.0, 0.0)]","[0.91322, 0.45928, 1.0]","[(0.91051, 0.91593), (0.45759, 0.46097), (1.0, 1.0)]",152924,179476,0,3586,37334,0,17,583,0
OA56,0.14119986167997695,0.3028085950325273,"[0.59926, 0.79417, 0.0]","[(0.59666, 0.60187), (0.78991, 0.79842), (0.0, 0.0)]","[0.76397, 0.58436, 1.0]","[(0.75998, 0.76797), (0.58182, 0.58689), (1.0, 1.0)]",81476,54484,0,7126,27494,0,3127,5693,0
OA3,-0.06052966965982153,-0.092241774830708,"[0.39626, 0.50927, 0.0]","[(0.39366, 0.39886), (0.5053, 0.51324), (0.0, 0.0)]","[0.50738, 0.40397, 1.0]","[(0.50372, 0.51105), (0.40146, 0.40648), (1.0, 1.0)]",54042,82338,0,29915,31045,0,5317,5243,0
HOA32,0.22926317330514684,0.3567556368689825,"[0.56566, 0.87973, 0.0]","[(0.56386, 0.56745), (0.87724, 0.88223), (0.0, 0.0)]","[0.86515, 0.54056, 1.0]","[(0.86286, 0.86744), (0.53881, 0.54231), (1.0, 1.0)]",165081,126759,0,7851,57429,0,3703,16697,0
HOA33,0.21702453936272176,0.3836546812558068,"[0.59392, 0.91302, 0.0]","[(0.59212, 0.59573), (0.91075, 0.91529), (0.0, 0.0)]","[0.90189, 0.58634, 1.0]","[(0.89961, 0.90418), (0.58454, 0.58813), (1.0, 1.0)]",168520,115220,0,5151,54069,0,1224,4536,0
OA82,0.14534730980379235,0.12135308309805266,"[0.10415, 0.97799, 0.0]","[(0.10203, 0.10628), (0.97606, 0.97991), (0.0, 0.0)]","[0.97811, 0.104, 1.0]","[(0.97619, 0.98002), (0.10188, 0.10612), (1.0, 1.0)]",8299,71381,0,490,21770,0,0,120,0
KOA27,0.243237374406011,0.30929167163838106,"[0.55535, 0.83079, 0.0]","[(0.55365, 0.55706), (0.82803, 0.83355), (0.0, 0.0)]","[0.83778, 0.54725, 1.0]","[(0.83517, 0.84039), (0.54556, 0.54895), (1.0, 1.0)]",181201,145079,0,11990,58870,0,410,5170,0
KOA11,0.3211738957038732,0.40179332025170555,"[0.75667, 0.82583, 0.0]","[(0.75511, 0.75822), (0.82175, 0.82991), (0.0, 0.0)]","[0.83516, 0.74981, 1.0]","[(0.83133, 0.83899), (0.74825, 0.75138), (1.0, 1.0)]",220235,70825,0,5779,27401,0,165,2715,0
OA84,0.3407159579300967,0.472348730090549,"[0.69384, 0.84462, 0.0]","[(0.68923, 0.69844), (0.83658, 0.85266), (0.0, 0.0)]","[0.87295, 0.65129, 1.0]","[(0.86658, 0.87932), (0.64668, 0.65589), (1.0, 1.0)]",26685,11775,0,1212,6588,0,122,2578,0
KOA21,0.36945928321832944,0.4475280507270856,"[0.68014, 0.9016, 0.0]","[(0.67831, 0.68196), (0.89861, 0.90459), (0.0, 0.0)]","[0.91987, 0.65506, 1.0]","[(0.91743, 0.9223), (0.65323, 0.65688), (1.0, 1.0)]",170415,80145,0,3749,34351,0,83,9637,0
HOA35,0.30095977338680724,0.4030849697936462,"[0.458, 0.93282, 0.0]","[(0.45582, 0.46018), (0.93141, 0.93422), (0.0, 0.0)]","[0.92829, 0.45109, 1.0]","[(0.92687, 0.92971), (0.44893, 0.45324), (1.0, 1.0)]",91591,108389,0,8199,113841,0,918,4182,0
KOA20,0.36434757457670486,0.3937058074422565,"[0.61888, 0.88373, 0.0]","[(0.61713, 0.62064), (0.88131, 0.88616), (0.0, 0.0)]","[0.8837, 0.61725, 1.0]","[(0.88129, 0.88611), (0.61549, 0.61901), (1.0, 1.0)]",181395,111705,0,7820,59440,0,114,846,0
KOA47,0.3457060329185021,0.4289067813794996,"[0.51658, 0.93111, 0.0]","[(0.51453, 0.51864), (0.92928, 0.93295), (0.0, 0.0)]","[0.94316, 0.47666, 1.0]","[(0.94167, 0.94465), (0.47469, 0.47864), (1.0, 1.0)]",117068,109552,0,5059,68381,0,220,19220,0
OA54,0.23675725281056403,0.2604446638530341,"[0.31738, 0.93428, 0.0]","[(0.31545, 0.31931), (0.9326, 0.93596), (0.0, 0.0)]","[0.93473, 0.31613, 1.0]","[(0.93307, 0.9364), (0.31421, 0.31806), (1.0, 1.0)]",70801,152279,0,5481,77919,0,25,935,0
KOA66,0.42107842548444585,0.5328070980300295,"[0.76842, 0.85024, 0.0]","[(0.76687, 0.76996), (0.84744, 0.85304), (0.0, 0.0)]","[0.86827, 0.74494, 1.0]","[(0.8658, 0.87075), (0.74336, 0.74651), (1.0, 1.0)]",219875,66265,0,9354,53106,0,75,9045,0
OA12,0.28424343464402113,0.32330389419680283,"[0.60999, 0.79808, 0.0]","[(0.60719, 0.61278), (0.7932, 0.80296), (0.0, 0.0)]","[0.79946, 0.60347, 1.0]","[(0.79476, 0.80416), (0.60068, 0.60625), (1.0, 1.0)]",71222,45538,0,5258,20782,0,325,1475,0
OA83,0.3024394171621513,0.39575765140471436,"[0.3834, 0.94561, 0.0]","[(0.38136, 0.38544), (0.94439, 0.94683), (0.0, 0.0)]","[0.95616, 0.31272, 1.0]","[(0.95522, 0.95709), (0.31097, 0.31447), (1.0, 1.0)]",83620,134480,0,7202,125218,0,890,51250,0
KOA3,0.28430421150928625,0.3316162415132124,"[0.6382, 0.80149, 0.0]","[(0.63649, 0.63991), (0.79831, 0.80466), (0.0, 0.0)]","[0.80229, 0.63743, 1.0]","[(0.79913, 0.80545), (0.63573, 0.63914), (1.0, 1.0)]",193950,109950,0,12030,48570,0,34,386,0
OA1,,0.030589682571376235,"[0.25293, 0.47315, 0.47619]","[(0.25113, 0.25472), (0.47039, 0.4759), (0.46644, 0.48594)]","[0.74007, 0.5011, 0.75184]","[(0.73774, 0.7424), (0.49908, 0.50312), (0.75041, 0.75327)]",56878,114422,53580,32938,59702,33540,2480,2800,4800
KOA25,0.33397291782309657,0.3869081913618371,"[0.64899, 0.83643, 0.0]","[(0.64697, 0.651), (0.83317, 0.83969), (0.0, 0.0)]","[0.83976, 0.64525, 1.0]","[(0.83656, 0.84295), (0.64323, 0.64726), (1.0, 1.0)]",139675,75545,0,8087,41353,0,47,1273,0
KOA8,0.37785260797208275,0.48486732308255015,"[0.68342, 0.88127, 0.0]","[(0.68171, 0.68514), (0.879, 0.88354), (0.0, 0.0)]","[0.88898, 0.6692, 1.0]","[(0.88686, 0.89111), (0.66748, 0.67091), (1.0, 1.0)]",193053,89427,0,9275,68845,0,77,6043,0
KOA29,0.3614987178164438,0.4314015162169582,"[0.62941, 0.81446, 0.0]","[(0.62741, 0.63141), (0.81194, 0.81698), (0.0, 0.0)]","[0.8308, 0.5995, 1.0]","[(0.82851, 0.83308), (0.59752, 0.60148), (1.0, 1.0)]",140673,82827,0,16988,74572,0,545,11515,0
OA67,0.2959811176341793,0.3671331124609378,"[0.32544, 0.96295, 0.0]","[(0.32344, 0.32745), (0.96208, 0.96383), (0.0, 0.0)]","[0.96412, 0.30398, 1.0]","[(0.96329, 0.96495), (0.30208, 0.30588), (1.0, 1.0)]",68031,141009,0,6622,172118,0,364,15596,0
OA89,0.3605025285592578,0.43386157976822004,"[0.56566, 0.90424, 0.0]","[(0.56318, 0.56813), (0.90188, 0.90661), (0.0, 0.0)]","[0.90751, 0.55295, 1.0]","[(0.90525, 0.90977), (0.5505, 0.5554), (1.0, 1.0)]",87326,67054,0,5688,53712,0,161,3679,0
OA11,0.2635267748273622,0.38542602674746756,"[0.62677, 0.86902, 0.0]","[(0.62124, 0.6323), (0.86044, 0.8776), (0.0, 0.0)]","[0.8674, 0.61336, 1.0]","[(0.85933, 0.87548), (0.60787, 0.61885), (1.0, 1.0)]",18427,10973,0,778,5162,0,121,719,0
KOA44,0.3912035038289935,0.44279577908580664,"[0.70907, 0.79977, 0.0]","[(0.70733, 0.71081), (0.79688, 0.80266), (0.0, 0.0)]","[0.80783, 0.69859, 1.0]","[(0.80506, 0.81059), (0.69684, 0.70033), (1.0, 1.0)]",185919,76281,0,14729,58831,0,226,4034,0
KOA53,0.30669806835172875,0.4003836217996971,"[0.68614, 0.80692, 0.0]","[(0.68452, 0.68776), (0.80402, 0.80981), (0.0, 0.0)]","[0.81209, 0.67879, 1.0]","[(0.8093, 0.81488), (0.67717, 0.68041), (1.0, 1.0)]",215969,98791,0,13786,57614,0,375,3585,0
KOA31,0.40157125213449485,0.4642632682717617,"[0.66874, 0.88294, 0.0]","[(0.66701, 0.67048), (0.8807, 0.88518), (0.0, 0.0)]","[0.8859, 0.66337, 1.0]","[(0.88372, 0.88809), (0.66163, 0.6651), (1.0, 1.0)]",189027,93633,0,9250,69770,0,33,2307,0
KOA7,0.4193364156822869,0.4864978542539005,"[0.65276, 0.82077, 0.0]","[(0.65063, 0.65488), (0.81892, 0.82262), (0.0, 0.0)]","[0.82778, 0.62703, 1.0]","[(0.826, 0.82955), (0.62492, 0.62914), (1.0, 1.0)]",126269,67171,0,29552,135328,0,291,8109,0
OA62,0.2694533510952407,0.3433144426607092,"[0.37378, 0.94457, 0.0]","[(0.37105, 0.37651), (0.94255, 0.9466), (0.0, 0.0)]","[0.94928, 0.34271, 1.0]","[(0.94754, 0.95102), (0.34015, 0.34526), (1.0, 1.0)]",45145,75635,0,2727,46473,0,380,11680,0
HOA19,0.37657782979581256,0.4241942623508191,"[0.70839, 0.83514, 0.0]","[(0.70665, 0.71013), (0.83195, 0.83834), (0.0, 0.0)]","[0.83865, 0.70261, 1.0]","[(0.83556, 0.84174), (0.70087, 0.70435), (1.0, 1.0)]",185569,76391,0,8556,43344,0,215,2245,0
KOA24,0.4209844979077191,0.5017423546722959,"[0.70816, 0.87349, 0.0]","[(0.70661, 0.70972), (0.8713, 0.87568), (0.0, 0.0)]","[0.88, 0.68774, 1.0]","[(0.87798, 0.88202), (0.68618, 0.6893), (1.0, 1.0)]",232631,95869,0,11211,77409,0,719,10081,0
KOA28,0.444130342772293,0.4814056188741864,"[0.77399, 0.8453, 0.0]","[(0.77237, 0.77562), (0.84202, 0.84859), (0.0, 0.0)]","[0.84647, 0.77276, 1.0]","[(0.84321, 0.84973), (0.77113, 0.77439), (1.0, 1.0)]",197322,57618,0,7212,39408,0,10,410,0
OA45,0.26929881716666604,0.3426435168247928,"[0.43217, 0.90218, 0.0]","[(0.4259, 0.43843), (0.89695, 0.90742), (0.0, 0.0)]","[0.90343, 0.42903, 1.0]","[(0.89826, 0.9086), (0.42279, 0.43527), (1.0, 1.0)]",10372,13628,0,1209,11151,0,2,178,0
HOA43,0.39582524848254147,0.49441061685463583,"[0.63574, 0.895, 0.0]","[(0.63391, 0.63757), (0.89301, 0.897), (0.0, 0.0)]","[0.9096, 0.59887, 1.0]","[(0.90788, 0.91131), (0.59707, 0.60068), (1.0, 1.0)]",169552,97148,0,9500,80980,0,193,16547,0
KOA61,0.18939387537932145,0.18612895224613843,"[0.61312, 0.66514, 0.0]","[(0.6114, 0.61484), (0.66062, 0.66966), (0.0, 0.0)]","[0.66867, 0.61221, 1.0]","[(0.66419, 0.67315), (0.61049, 0.61392), (1.0, 1.0)]",189785,119755,0,14044,27896,0,11,469,0
KOA49,0.3964707257429722,0.45744530796307625,"[0.59056, 0.88408, 0.0]","[(0.58867, 0.59245), (0.88227, 0.8859), (0.0, 0.0)]","[0.89062, 0.57259, 1.0]","[(0.88891, 0.89233), (0.57072, 0.57446), (1.0, 1.0)]",153604,106496,0,13889,105931,0,136,8264,0
HOA37,0.29022285069253373,0.3423569042180494,"[0.35345, 0.96222, 0.0]","[(0.35155, 0.35534), (0.9611, 0.96334), (0.0, 0.0)]","[0.96374, 0.34545, 1.0]","[(0.96267, 0.96481), (0.34359, 0.34732), (1.0, 1.0)]",86227,157733,0,4216,107384,0,39,5721,0
OA70,0.17917695476682205,0.24515646515592843,"[0.61166, 0.78862, 0.0]","[(0.60588, 0.61743), (0.77248, 0.80475), (0.0, 0.0)]","[0.80069, 0.60436, 1.0]","[(0.7861, 0.81528), (0.59861, 0.61011), (1.0, 1.0)]",16735,10625,0,520,1940,0,54,366,0
OA71,0.11262041540101214,0.1318164397126,"[0.13285, 0.97195, 0.0]","[(0.1308, 0.13491), (0.96993, 0.97397), (0.0, 0.0)]","[0.97125, 0.13261, 1.0]","[(0.96923, 0.97328), (0.13056, 0.13466), (1.0, 1.0)]",13886,90634,0,722,25018,0,30,390,0
OA14,0.267239512642475,0.33812611265540804,"[0.46613, 0.90609, 0.0]","[(0.46433, 0.46793), (0.90412, 0.90806), (0.0, 0.0)]","[0.90978, 0.44511, 1.0]","[(0.90802, 0.91155), (0.44336, 0.44685), (1.0, 1.0)]",137685,157695,0,7922,76438,0,1188,15432,0
HOA47,0.13275811712242963,0.2926416531957527,"[0.5144, 0.86175, 0.0]","[(0.51251, 0.51628), (0.85991, 0.86359), (0.0, 0.0)]","[0.81131, 0.51286, 1.0]","[(0.80937, 0.81324), (0.51105, 0.51467), (1.0, 1.0)]",139319,131521,0,18639,116181,0,11001,11259,0
OA52,0.29139330097492505,0.3302986552087798,"[0.38371, 0.93733, 0.0]","[(0.38166, 0.38575), (0.93581, 0.93886), (0.0, 0.0)]","[0.93798, 0.38165, 1.0]","[(0.93647, 0.93949), (0.37961, 0.38369), (1.0, 1.0)]",83295,133785,0,6061,90659,0,12,1188,0
OA68,0.17706696031282307,0.23599795903537807,"[0.41553, 0.87299, 0.0]","[(0.41363, 0.41744), (0.87006, 0.87592), (0.0, 0.0)]","[0.87587, 0.40494, 1.0]","[(0.87321, 0.87854), (0.40308, 0.40681), (1.0, 1.0)]",106808,150232,0,6310,43370,0,996,8184,0
HOA44,0.23565789064609483,0.2925510197988101,"[0.36057, 0.97861, 0.0]","[(0.3587, 0.36243), (0.97744, 0.97977), (0.0, 0.0)]","[0.97867, 0.35912, 1.0]","[(0.97752, 0.97983), (0.35726, 0.36098), (1.0, 1.0)]",91685,162595,0,1267,57953,0,19,1061,0
OA63,0.20929703190054103,0.26358016443364946,"[0.42181, 0.87903, 0.0]","[(0.41938, 0.42424), (0.87599, 0.88207), (0.0, 0.0)]","[0.87949, 0.41709, 1.0]","[(0.87654, 0.88245), (0.41469, 0.4195), (1.0, 1.0)]",67068,91932,0,5342,38818,0,276,2184,0
KOA45,0.2483127838556993,0.2986643971009032,"[0.55199, 0.86787, 0.0]","[(0.55025, 0.55372), (0.86501, 0.87073), (0.0, 0.0)]","[0.86748, 0.55038, 1.0]","[(0.86465, 0.87031), (0.54865, 0.55212), (1.0, 1.0)]",173843,141097,0,7119,46761,0,188,1072,0
HOA8,0.30430709605592743,0.35050665199728553,"[0.76014, 0.70244, 0.0]","[(0.75868, 0.76159), (0.69838, 0.7065), (0.0, 0.0)]","[0.71219, 0.75564, 1.0]","[(0.70825, 0.71612), (0.75418, 0.7571), (1.0, 1.0)]",251027,79213,0,14497,34223,0,147,2013,0
OA49,0.1231503979781681,0.12766878749481922,"[0.15479, 0.94296, 0.0]","[(0.15256, 0.15702), (0.94052, 0.94541), (0.0, 0.0)]","[0.94326, 0.15452, 1.0]","[(0.94083, 0.94569), (0.15229, 0.15675), (1.0, 1.0)]",15603,85197,0,1978,32702,0,0,180,0
OA66,0.2299872900183863,0.3053578641183795,"[0.42238, 0.89362, 0.0]","[(0.42028, 0.42447), (0.89166, 0.89558), (0.0, 0.0)]","[0.88723, 0.41594, 1.0]","[(0.88528, 0.88917), (0.41389, 0.418), (1.0, 1.0)]",90220,123380,0,10123,85037,0,1346,5194,0
