Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
HOA37,-0.15808747579062876,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA32,0.16892840860489328,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA75,0.08368187792257227,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA25,0.19041941800236006,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA14,-0.23039742695538837,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA5,0.20295435307342158,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA27,0.5364995428945003,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA1,0.3794915585524814,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
KOA6,,nan,"[0.0, 0.0, 1.0]","[(0.0, 0.0), (0.0, 0.0), (1.0, 1.0)]","[1.0, 1.0, 0.0]","[(1.0, 1.0), (1.0, 1.0), (0.0, 0.0)]"
OA16,-0.21732045273404563,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA32,0.22185462651825824,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA71,-0.11910656672688824,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA9,0.05146646598223942,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA36,-0.2576020061555534,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA75,-0.07553790315976641,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA31,0.06358570799193448,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA63,0.18735952697982483,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA41,0.23307329630801316,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA45,-0.13035270383711176,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
HOA46,-0.04930098248809498,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA35,0.5916045006432167,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA49,-0.0017996171273203408,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA24,-0.2600737458205099,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA53,-0.032758157724038256,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA7,-0.011283859641883089,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA65,0.28699552544496953,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA58,-0.028283309718994863,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA14,-0.057925376665422065,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA56,0.4460639706755449,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA67,-0.242408894237366,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
HOA15,0.2735132789452792,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
KOA10,0.017056555202693995,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA27,-0.21609464490472993,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA22,0.55279108011906,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
OA78,-0.3564089702526595,nan,"[0.0, 1.0, 0.0]","[(0.0, 0.0), (1.0, 1.0), (0.0, 0.0)]","[1.0, 0.0, 1.0]","[(1.0, 1.0), (0.0, 0.0), (1.0, 1.0)]"
OA19,-0.24660293456379928,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
KOA49,0.036784389649652215,nan,"[1.0, 0.0, 0.0]","[(1.0, 1.0), (0.0, 0.0), (0.0, 0.0)]","[0.0, 1.0, 1.0]","[(0.0, 0.0), (1.0, 1.0), (1.0, 1.0)]"
