Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
KOA1,-0.08780665026366945,-0.11080376367417265,"[0.3533, 0.42653, 0.0]","[(0.34967, 0.35693), (0.41167, 0.44138), (0.0, 0.0)]","[0.42613, 0.35392, 1.0]","[(0.41158, 0.44067), (0.35029, 0.35755), (1.0, 1.0)]"
OA89,0.06382293846166348,-0.04404865618876441,"[0.50425, 0.31463, 0.0]","[(0.49907, 0.50943), (0.30206, 0.32721), (0.0, 0.0)]","[0.42778, 0.50087, 1.0]","[(0.41887, 0.43668), (0.49611, 0.50563), (1.0, 1.0)]"
OA47,-0.16450878836791014,-0.1936208524094168,"[0.32767, 0.35198, 0.0]","[(0.32335, 0.33199), (0.3382, 0.36577), (0.0, 0.0)]","[0.35176, 0.32772, 1.0]","[(0.33798, 0.36553), (0.3234, 0.33203), (1.0, 1.0)]"
HOA17,-0.0031489884249199258,-0.179568830920065,"[0.52331, 0.19367, 0.00075]","[(0.51905, 0.52757), (0.18636, 0.20098), (-0.00029, 0.00179)]","[0.24566, 0.524, 0.99992]","[(0.2385, 0.25282), (0.51985, 0.52816), (0.99985, 0.99999)]"
OA63,-0.0292048241565197,-0.10456284042321302,"[0.54564, 0.24871, 0.01294]","[(0.54063, 0.55065), (0.233, 0.26442), (0.00034, 0.02555)]","[0.25902, 0.54683, 0.99973]","[(0.24388, 0.27416), (0.54184, 0.55181), (0.99957, 0.99989)]"
OA66,0.03135909174353898,-0.09369068585807581,"[0.34814, 0.4968, 0.09476]","[(0.34404, 0.35225), (0.48693, 0.50668), (0.07999, 0.10954)]","[0.51602, 0.36219, 0.99043]","[(0.50683, 0.52521), (0.35811, 0.36627), (0.98966, 0.9912)]"
KOA64,-0.06269230122357566,-0.17881694538160844,"[0.40345, 0.28911, 0.00104]","[(0.4, 0.40691), (0.27933, 0.29889), (-0.00099, 0.00306)]","[0.30665, 0.40529, 0.99991]","[(0.29724, 0.31606), (0.40186, 0.40872), (0.99984, 0.99997)]"
KOA6,0.006337032415765088,-0.15434198233100183,"[0.51873, 0.16858, 0.0]","[(0.51483, 0.52262), (0.1608, 0.17635), (0.0, 0.0)]","[0.26081, 0.51826, 0.99993]","[(0.2531, 0.26852), (0.51447, 0.52205), (0.99987, 0.99999)]"
HOA24,-0.12955947612659552,-0.171428936747263,"[0.31203, 0.40234, 0.0]","[(0.3083, 0.31575), (0.38973, 0.41495), (0.0, 0.0)]","[0.40609, 0.31247, 0.99998]","[(0.39364, 0.41854), (0.30875, 0.31619), (0.99995, 1.00001)]"
KOA66,-0.17166464836546252,-0.22235844913691577,"[0.31289, 0.3488, 0.0]","[(0.30932, 0.31645), (0.33824, 0.35936), (0.0, 0.0)]","[0.3478, 0.31411, 0.99992]","[(0.33737, 0.35822), (0.31055, 0.31768), (0.99985, 0.99998)]"
