Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
OA75,0.08921755208811674,0.10677109678109574,"[0.13821, 0.04795, 0.95455]","[(0.13057, 0.14585), (0.03485, 0.06104), (0.92165, 0.98744)]","[0.94728, 0.91677, 0.20908]","[(0.93451, 0.96005), (0.91071, 0.92283), (0.20061, 0.21755)]"
KOA25,0.10040764936953794,0.03155566173299524,"[0.08928, 0.05736, 1.0]","[(0.0832, 0.09537), (0.03942, 0.07531), (1.0, 1.0)]","[0.94753, 0.94075, 0.14605]","[(0.9306, 0.96445), (0.93572, 0.94578), (0.13879, 0.15332)]"
KOA1,0.003978049999006104,0.015614862928382224,"[0.0904, 0.15777, 0.85714]","[(0.08504, 0.09576), (0.13288, 0.18266), (0.67384, 1.04045)]","[0.90931, 0.81206, 0.27642]","[(0.88986, 0.92875), (0.80477, 0.81936), (0.26836, 0.28448)]"
OA89,0.041346794603195146,0.1892954251509475,"[0.07006, 0.06287, 0.96276]","[(0.06353, 0.0766), (0.04784, 0.0779), (0.95143, 0.97408)]","[0.9764, 0.85504, 0.2168]","[(0.96987, 0.98293), (0.84676, 0.86333), (0.20706, 0.22655)]"
OA47,0.16021738803501928,0.13477231717434462,"[0.27476, 0.0894, nan]","[(0.26469, 0.28483), (0.06941, 0.10938), (nan, nan)]","[0.86845, 0.81594, 0.43647]","[(0.84478, 0.89213), (0.8072, 0.82468), (0.42583, 0.44712)]"
HOA17,0.06445546867929386,0.15115067524783093,"[0.18258, 0.11732, 0.61697]","[(0.1744, 0.19077), (0.10382, 0.13083), (0.56866, 0.66528)]","[0.97277, 0.84302, 0.29273]","[(0.96648, 0.97906), (0.83548, 0.85056), (0.28412, 0.30133)]"
OA63,0.09418535774068394,0.13513612157819557,"[0.51448, 0.06237, 0.5102]","[(0.50219, 0.52677), (0.04039, 0.08435), (0.37023, 0.65017)]","[0.7179, 0.91082, 0.58513]","[(0.67899, 0.7568), (0.90384, 0.9178), (0.57344, 0.59682)]"
OA66,0.07123789983268383,0.06335499948838978,"[0.09787, 0.07992, 0.79902]","[(0.09151, 0.10424), (0.06789, 0.09195), (0.74403, 0.85401)]","[0.95594, 0.90656, 0.17733]","[(0.94727, 0.9646), (0.90039, 0.91272), (0.16996, 0.18469)]"
KOA64,0.15559258271809445,0.21051929657342075,"[0.25526, 0.1327, 0.92105]","[(0.2477, 0.26282), (0.11594, 0.14945), (0.87155, 0.97055)]","[0.93783, 0.73824, 0.48364]","[(0.92632, 0.94935), (0.73065, 0.74582), (0.47546, 0.49181)]"
KOA6,0.08456566706366203,0.11546969013337387,"[0.11463, 0.05109, 0.90956]","[(0.10851, 0.12075), (0.04032, 0.06186), (0.88633, 0.93278)]","[0.98631, 0.93438, 0.1643]","[(0.98144, 0.99117), (0.92975, 0.939), (0.15767, 0.17092)]"
HOA24,0.12232310793372908,0.08622595720158532,"[0.10076, 0.06182, 0.8]","[(0.09481, 0.10672), (0.04759, 0.07605), (0.55208, 1.04792)]","[0.96937, 0.89812, 0.19147]","[(0.95923, 0.97951), (0.89213, 0.9041), (0.18409, 0.19886)]"
KOA66,-0.018655499596260734,-0.002580281771067415,"[0.07833, 0.22766, 0.70833]","[(0.07322, 0.08343), (0.20652, 0.24881), (0.52648, 0.89018)]","[0.96156, 0.82625, 0.25366]","[(0.95195, 0.97118), (0.81906, 0.83344), (0.24593, 0.2614)]"
OA46,0.11411296519032127,0.1464960617609035,"[0.24146, 0.08896, 0.58333]","[(0.23367, 0.24925), (0.07474, 0.10318), (0.30439, 0.86228)]","[0.91624, 0.85441, 0.36175]","[(0.90245, 0.93002), (0.84799, 0.86083), (0.35354, 0.36997)]"
OA55,0.2576640448425232,0.10367145129301576,"[0.03626, 0.03715, 0.95556]","[(0.03097, 0.04155), (0.02673, 0.04758), (0.93097, 0.98014)]","[0.98502, 0.91241, 0.11148]","[(0.97894, 0.99109), (0.90463, 0.92019), (0.10356, 0.1194)]"
KOA71,0.18775926670204302,0.06418465779164201,"[0.09191, 0.05762, 1.0]","[(0.08654, 0.09728), (0.04402, 0.07122), (1.0, 1.0)]","[0.94454, 0.89073, 0.19317]","[(0.93123, 0.95785), (0.88493, 0.89652), (0.18618, 0.20017)]"
KOA75,0.07868675556692968,0.006360011367029671,"[0.20119, 0.13944, 0.28571]","[(0.19383, 0.20856), (0.09659, 0.1823), (-0.04895, 0.62038)]","[0.82558, 0.86037, 0.34001]","[(0.77928, 0.87189), (0.854, 0.86673), (0.3314, 0.34861)]"
KOA49,-0.03683064496532542,0.031746204380448964,"[0.08616, 0.12319, 0.75]","[(0.08065, 0.09167), (0.10903, 0.13735), (0.71401, 0.78599)]","[0.98781, 0.89417, 0.17616]","[(0.98362, 0.99201), (0.88829, 0.90004), (0.16936, 0.18297)]"
OA71,-0.1053032488686153,-0.061690524531996756,"[0.03288, 0.05923, nan]","[(0.02741, 0.03836), (0.03192, 0.08654), (nan, nan)]","[0.93031, 0.96712, 0.06992]","[(0.90086, 0.95977), (0.96164, 0.97259), (0.06235, 0.07749)]"
KOA22,0.03612765873846082,-0.016048308336620135,"[0.08187, 0.10833, 1.0]","[(0.07736, 0.08637), (0.05272, 0.16394), (1.0, 1.0)]","[0.864, 0.9039, 0.17861]","[(0.80391, 0.92409), (0.89906, 0.90874), (0.17234, 0.18487)]"
HOA42,-0.022643664589451228,-0.03549274220571578,"[0.13809, 0.1064, 0.6055]","[(0.13108, 0.14511), (0.08991, 0.12288), (0.51375, 0.69726)]","[0.8713, 0.93862, 0.20188]","[(0.85408, 0.88852), (0.93376, 0.94347), (0.19425, 0.20951)]"
KOA3,0.12319054541130005,0.058532782627048294,"[0.18526, 0.05882, 1.0]","[(0.17824, 0.19229), (0.03992, 0.07773), (1.0, 1.0)]","[0.9015, 0.90761, 0.27191]","[(0.87764, 0.92537), (0.90238, 0.91285), (0.26406, 0.27976)]"
KOA73,-0.045382566409121305,-0.07383996931622276,"[0.07233, 0.12201, 0.69784]","[(0.06773, 0.07693), (0.09063, 0.15339), (0.6215, 0.77418)]","[0.89767, 0.93376, 0.13994]","[(0.8725, 0.92284), (0.92937, 0.93815), (0.13388, 0.146)]"
HOA10,-0.006216808994509001,0.025176054453199665,"[0.07106, 0.04745, 1.0]","[(0.06576, 0.07635), (0.02998, 0.06492), (1.0, 1.0)]","[0.93554, 0.91991, 0.1489]","[(0.91545, 0.95563), (0.91432, 0.92551), (0.14178, 0.15602)]"
OA37,0.18040740492938198,0.12677367806932827,"[0.3147, 0.08727, 0.875]","[(0.30324, 0.32615), (0.06369, 0.11086), (0.64582, 1.10418)]","[0.85484, 0.84926, 0.44697]","[(0.82561, 0.88407), (0.84044, 0.85808), (0.43521, 0.45873)]"
OA38,0.24202943383172798,0.0614319877890203,"[0.1505, 0.03889, nan]","[(0.144, 0.15699), (0.01065, 0.06713), (nan, nan)]","[0.92222, 0.77284, 0.37369]","[(0.8831, 0.96135), (0.76523, 0.78045), (0.36497, 0.38241)]"
OA70,-0.07361152202517483,-0.09057640007911505,"[0.20914, 0.13043, nan]","[(0.18374, 0.23454), (-0.0072, 0.26807), (nan, nan)]","[0.47826, 0.78376, 0.43056]","[(0.27411, 0.68241), (0.75805, 0.80947), (0.39999, 0.46112)]"
HOA36,0.018459365979436242,-0.0006079119580443895,"[0.0985, 0.08451, 0.69231]","[(0.09315, 0.10386), (0.05809, 0.11092), (0.44141, 0.9432)]","[0.90661, 0.92536, 0.17316]","[(0.87939, 0.93383), (0.92064, 0.93008), (0.16648, 0.17984)]"
KOA26,0.16569069636942008,0.2689445174670695,"[0.405, 0.12708, 0.79245]","[(0.39472, 0.41527), (0.11143, 0.14274), (0.68327, 0.90164)]","[0.97824, 0.94513, 0.40773]","[(0.97148, 0.98499), (0.94038, 0.94988), (0.39833, 0.41712)]"
