Participant	OC_METs	TimeSec	Mean_APthighX	Mean_APthighY	Mean_APthighZ	Var_APthighX	Var_APthighY	Var_APthighZ
1	1.29	990	66.6	128.0	102.4	0.3	0.0	0.5
1	1.37	1020	66.3	128.7	103.4	0.2	0.2	0.2
1	1.29	1050	66.0	128.2	102.6	0.0	0.1	0.2
1	1.40	1080	66.0	128.6	103.6	0.0	0.2	0.3
1	1.37	1110	66.4	129.0	103.2	0.2	0.0	1.0
1	1.23	1140	66.4	129.0	103.1	0.2	0.0	0.1
1	1.43	1170	66.0	128.8	102.2	0.0	0.5	0.1
1	1.20	1200	66.0	128.9	102.7	0.0	0.6	0.2
1	2.11	1230	65.3	127.5	108.0	143.6	137.6	128.3
1	1.69	1260	65.8	125.9	108.4	5.9	31.0	100.2
1	1.54	1290	65.9	126.1	106.2	9.2	43.1	56.3
1	1.54	1320	65.4	126.4	108.9	10.0	53.4	54.7
1	1.40	1350	65.2	127.2	107.3	6.3	31.7	31.2
1	1.60	1380	65.6	125.4	109.0	9.2	62.7	67.3
1	1.51	1410	65.8	126.8	107.0	17.5	43.6	67.7
1	1.66	1440	65.1	126.5	109.0	19.9	57.5	79.5
1	1.83	1470	66.0	124.4	107.3	12.5	50.8	78.8
1	1.80	1500	65.7	125.8	106.2	10.9	48.5	41.3
1	1.29	1530	66.0	127.0	102.9	5.4	12.8	9.1
1	0.89	1560	66.4	126.9	103.0	0.2	0.1	0.0
1	0.91	1590	66.0	126.0	103.0	0.0	0.0	0.0
1	0.97	1620	65.8	127.5	104.0	0.6	1.9	2.8
1	0.86	1650	65.7	127.4	103.3	0.2	0.2	0.2
1	0.74	1680	66.5	127.4	104.0	0.2	0.2	0.8
1	0.86	1710	66.4	126.6	103.9	0.6	0.9	2.6
1	0.89	1740	65.7	127.0	105.2	0.7	0.5	8.5
1	1.00	1770	66.2	127.0	103.7	0.5	2.9	5.0
1	0.80	1800	66.0	128.0	105.1	0.2	0.2	1.5
1	1.69	1830	120.2	120.9	174.4	520.5	147.4	501.6
1	1.20	1860	117.2	128.0	185.0	0.1	0.0	0.0
1	0.86	1890	118.0	128.0	185.0	0.0	0.0	0.0
1	0.83	1920	117.7	128.0	185.0	0.2	0.0	0.0
1	0.83	1950	117.9	128.0	185.0	0.1	0.0	0.0
1	0.71	1980	117.6	128.0	185.0	0.2	0.0	0.0
1	0.66	2010	118.0	128.0	185.0	0.0	0.0	0.0
1	0.66	2040	117.6	128.0	184.9	0.2	0.0	0.1
1	0.71	2070	117.6	128.0	184.4	0.2	0.0	0.2
1	0.86	2100	117.6	128.0	184.4	0.2	0.0	0.2
1	1.37	2130	81.0	121.0	136.8	648.8	202.5	978.0
1	2.17	2160	71.2	117.4	130.4	77.9	71.7	618.4
1	2.80	2190	71.6	115.8	129.5	80.5	62.9	614.3
